,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
917,Pat Cummings,1980,1991,F-C,6-9,230,"July 11, 1956",Cincinnati
918,Terry Cummings,1983,2000,F,6-9,220,"March 15, 1961",DePaul
919,Vonteego Cummings,2000,2002,G,6-3,185,"February 29, 1976",Pitt
920,Billy Cunningham*,1966,1976,F-C,6-6,210,"June 3, 1943",UNC
921,Dante Cunningham,2010,2019,F,6-8,230,"April 22, 1987",Villanova
922,Dick Cunningham,1969,1975,C,6-10,245,"July 11, 1946",Murray State
923,Jared Cunningham,2013,2016,G,6-4,195,"May 22, 1991",Oregon State
924,William Cunningham,1998,1999,C,6-11,250,"March 25, 1974",Temple
925,Radisav Ćurčić,1993,1993,C,6-10,275,"September 26, 1965",
926,Armand Cure,1947,1947,F,6-0,198,"August 1, 1919",Rhode Island
927,Earl Cureton,1981,1997,F-C,6-9,210,"September 3, 1957","Robert Morris University (PA), Detroit Mercy"
928,Bill Curley,1995,2001,F,6-9,220,"May 29, 1972",Boston College
929,Fran Curran,1949,1950,G,6-0,175,"September 9, 1922",Notre Dame
930,Dell Curry,1987,2002,G,6-4,190,"June 25, 1964",Virginia Tech
931,Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",
932,JamesOn Curry,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State
933,Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University
934,Seth Curry,2014,2021,G,6-2,185,"August 23, 1990","Liberty, Duke"
935,Stephen Curry,2010,2021,G,6-3,185,"March 14, 1988",Davidson
936,Rastko Cvetković,1996,1996,C,7-1,260,"June 22, 1970",
937,Mike D'Antoni,1974,1977,G,6-3,185,"May 8, 1951",Marshall
938,Mike Dabich,1968,1968,C,7-0,242,"December 27, 1942",New Mexico State
939,Ed Dahler,1952,1952,F,6-5,190,"January 31, 1926",Duquesne
940,Quintin Dailey,1983,1992,G,6-3,180,"January 22, 1961",San Francisco
941,Samuel Dalembert,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall
942,Howie Dallmar,1947,1949,F,6-4,200,"May 24, 1922",Stanford
943,Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State
944,Louie Dampier*,1968,1979,G,6-0,170,"November 20, 1944",Kentucky
945,Bob Dandridge,1970,1982,F-G,6-6,195,"November 15, 1947",Norfolk State
946,Antonio Daniels,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green
947,Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",Kentucky
948,Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College
949,Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn
950,Mel Daniels*,1968,1977,C,6-9,220,"July 20, 1944",New Mexico
951,Troy Daniels,2014,2020,G,6-4,200,"July 15, 1991",VCU
952,Sasha Danilović,1996,1997,G,6-5,200,"February 26, 1970",
953,Adrian Dantley*,1977,1991,F-G,6-5,208,"February 28, 1955",Notre Dame
954,Pete Darcey,1953,1953,C,6-7,217,"March 3, 1930",Oklahoma State
955,Jimmy Darden,1950,1950,G,6-1,170,"June 19, 1922",Denver
956,Ollie Darden,1968,1970,F-C,6-7,235,"July 28, 1944",Michigan
957,Yinka Dare,1995,1998,C,7-0,265,"October 10, 1972",George Washington
958,Jesse Dark,1975,1975,G,6-5,210,"September 2, 1951",VCU
959,Rick Darnell,1976,1976,C-F,6-10,215,"January 1, 1953",San Jose State
960,Jimmy Darrow,1962,1962,G,5-10,170,"September 25, 1937",Bowling Green
961,Luigi Datome,2014,2015,F,6-8,215,"November 27, 1987",
962,Brad Daugherty,1987,1994,C,7-0,245,"October 19, 1965",UNC
963,Mack Daughtry,1971,1971,G,6-3,175,"July 20, 1946",Albany State University
964,Kornél Dávid,1999,2001,F,6-9,235,"October 22, 1971",
965,Jermareo Davidson,2008,2009,F,6-10,230,"November 15, 1984",Alabama
966,Bob Davies*,1949,1955,G-F,6-1,175,"January 15, 1920",Seton Hall
967,Brandon Davies,2014,2015,F,6-10,240,"July 25, 1991",BYU
968,Anthony Davis,2013,2021,F-C,6-10,253,"March 11, 1993",Kentucky
969,Antonio Davis,1994,2006,F-C,6-9,215,"October 31, 1968",Texas-El Paso
970,Aubrey Davis,1947,1947,G-F,6-2,175,"March 28, 1921",Oklahoma Baptist University
971,Baron Davis,2000,2012,G,6-3,209,"April 13, 1979",UCLA
972,Ben Davis,1997,2000,F,6-9,240,"December 26, 1972","Kansas, Arizona"
973,Bill Davis,1947,1947,F,6-3,215,"October 3, 1920",Notre Dame
974,Bob Davis,1973,1973,F,6-7,215,"April 2, 1950",Weber State
975,Brad Davis,1978,1992,G,6-3,180,"December 17, 1955",Maryland
976,Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke
977,Charles Davis,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt
978,Charlie Davis,1972,1974,G,6-2,160,"September 7, 1949",Wake Forest
979,Dale Davis,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson
980,Deyonta Davis,2017,2019,C-F,6-11,237,"December 2, 1996",Michigan State
981,Dwight Davis,1973,1977,F,6-8,220,"October 28, 1949",Houston
982,Ed Davis,2011,2021,F,6-9,218,"June 5, 1989",UNC
983,Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University
984,Glen Davis,2008,2015,F-C,6-9,289,"January 1, 1986",LSU
985,Harry Davis,1979,1980,F,6-7,220,"January 27, 1956",Florida State
986,Hubert Davis,1993,2004,G,6-5,183,"May 17, 1970",UNC
987,Jim Davis,1968,1975,C-F,6-9,225,"December 18, 1941",Colorado
988,Johnny Davis,1977,1986,G,6-2,170,"October 21, 1955",Dayton
989,Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",Wyoming
990,Lee Davis,1969,1976,C-F,6-8,235,"October 11, 1945",NC Central
991,Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion
992,Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech"
993,Mel Davis,1974,1977,F,6-6,220,"November 9, 1950",St. John's
994,Mickey Davis,1972,1977,F-G,6-7,195,"June 16, 1950",Duquesne
995,Mike Davis,1970,1973,G,6-3,185,"July 26, 1946",Virginia Union University
996,Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",Maryland
997,Monti Davis,1981,1981,F,6-7,205,"July 26, 1958",Tennessee State
998,Paul Davis,2007,2010,C,6-11,270,"July 21, 1984",Michigan State
999,Ralph Davis,1961,1962,G,6-4,180,"September 7, 1938",Cincinnati
1000,Red Davis,1956,1956,C,6-7,220,"April 22, 1932",St. John's
1001,Ricky Davis,1999,2010,G,6-6,195,"September 23, 1979",Iowa
1002,Ron Davis,1977,1982,G-F,6-6,198,"May 1, 1954",Washington State
1003,Terence Davis,2020,2021,G,6-4,201,"May 16, 1997",Ole Miss
1004,Terry Davis,1990,2001,F-C,6-9,225,"June 17, 1967",Virginia Union University
1005,Tyler Davis,2019,2019,C,6-10,266,"May 22, 1997",Texas A&M
1006,Walt Davis,1954,1958,C-F,6-8,205,"January 5, 1931",Texas A&M
1007,Walter Davis,1978,1992,G-F,6-6,193,"September 9, 1954",UNC
1008,Warren Davis,1968,1973,F-C,6-6,212,"June 30, 1943",North Carolina A&T
1009,Willie Davis,1971,1971,C,6-8,234,"August 9, 1945",University of North Texas
1010,Andre Dawkins,2015,2015,G,6-5,215,"September 19, 1991",Duke
1011,Darryl Dawkins,1976,1989,C,6-11,251,"January 11, 1957",
1012,Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963",Duke
1013,Paul Dawkins,1980,1980,F,6-5,190,"June 10, 1957",Northern Illinois
1014,Branden Dawson,2016,2016,F,6-6,225,"February 1, 1993",Michigan State
1015,Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University
1016,Jimmy Dawson,1968,1968,G,6-0,175,"April 18, 1945",Illinois
1017,Tony Dawson,1991,1995,F,6-7,215,"August 25, 1967",Florida State
1018,Todd Day,1993,2001,G-F,6-6,188,"January 7, 1970",Arkansas
1019,Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga
1020,Darren Daye,1984,1988,F-G,6-8,220,"November 30, 1960",UCLA
1021,Nando De Colo,2013,2014,G,6-5,200,"June 23, 1987",
1022,Billy DeAngelis,1971,1971,G,6-1,180,"October 5, 1946",Saint Joseph's
1023,Dave DeBusschere*,1963,1974,F-G,6-6,220,"October 16, 1940",Detroit Mercy
1024,Andrew DeClercq,1996,2005,F-C,6-10,230,"February 1, 1973",Florida
1025,Nate DeLong,1952,1952,C,6-6,220,"January 5, 1926",Wisconsin-River Falls
1026,Joe DePre,1971,1973,G,6-3,185,"December 19, 1947",St. John's
1027,DeMar DeRozan,2010,2021,G-F,6-6,220,"August 7, 1989",USC
1028,Hank DeZonie,1951,1951,C-F,6-6,215,"February 12, 1922",Clark Atlanta University
1029,Greg Deane,1980,1980,G,6-4,190,"December 6, 1957",Utah
1030,Dewayne Dedmon,2014,2020,C,7-0,245,"August 12, 1989",USC
1031,Don Dee,1969,1969,F,6-8,210,"August 9, 1943",Saint Mary of the Plains College
1032,Archie Dees,1959,1962,F-C,6-8,205,"February 22, 1936",Indiana
1033,Terry Dehere,1994,1999,G,6-2,190,"September 12, 1971",Seton Hall
1034,Red Dehnert,1947,1947,F,6-3,175,"January 24, 1924",Columbia University
1035,Bryce Dejean-Jones,2016,2016,G,6-6,209,"August 21, 1992","USC, UNLV, Iowa State"
1036,Sam Dekker,2016,2019,F,6-9,230,"May 6, 1994",Wisconsin
1037,Vinny Del Negro,1989,2002,G,6-4,185,"August 9, 1966",NC State
1038,Malcolm Delaney,2017,2018,G,6-3,190,"March 11, 1989",Virginia Tech
1039,Bison Dele,1992,1999,F-C,6-9,235,"April 6, 1969","Maryland, Arizona"
1040,Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",
1041,Ángel Delgado,2019,2019,C,6-10,245,"November 20, 1994",Seton Hall
1042,Tony Delk,1997,2006,G,6-1,189,"January 28, 1974",Kentucky
1043,Matthew Dellavedova,2014,2020,G,6-3,200,"September 8, 1990",Saint Mary's
1044,Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",Wyoming
1045,Larry Demic,1980,1982,F-C,6-9,225,"June 27, 1957",Arizona
1046,Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific
1047,George Dempsey,1955,1959,G,6-2,190,"July 19, 1929",King's College
1048,Luol Deng,2005,2019,F,6-9,237,"April 16, 1985",Duke
1049,Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke
1050,Blaine Denning,1953,1953,G,6-2,175,"September 19, 1930",Lawrence Technological University
1051,Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",Washington
1052,Randy Denton,1972,1977,C,6-10,240,"February 18, 1949",Duke
1053,Rod Derline,1975,1976,G,6-0,175,"March 11, 1952",Seattle University
1054,Marcus Derrickson,2019,2019,F,6-7,249,"February 1, 1996",Georgetown
1055,Dave Deutsch,1967,1967,G,6-1,170,"May 13, 1945",University of Rochester
1056,Corky Devlin,1956,1958,G,6-5,195,"December 21, 1931",George Washington
1057,Ernie DiGregorio,1974,1978,G,6-0,180,"January 15, 1951",Providence
1058,Donte DiVincenzo,2019,2021,G,6-4,203,"January 31, 1997",Villanova
1059,Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan
1060,Cheick Diallo,2017,2020,F,6-8,219,"September 13, 1996",Kansas
1061,Hamidou Diallo,2019,2021,G,6-5,202,"July 31, 1998",Kentucky
1062,Boris Diaw,2004,2017,F-C,6-8,250,"April 16, 1982",
1063,Yakhouba Diawara,2007,2010,G-F,6-7,225,"August 29, 1982",Pepperdine
1064,Guillermo Díaz,2008,2008,G,6-2,192,"March 4, 1985",Miami (FL)
1065,Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","Washington, Gonzaga"
1066,Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, Idaho"
1067,Henry Dickerson,1976,1977,G,6-4,190,"November 27, 1951",University of Charleston
1068,Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",Arizona
1069,Clyde Dickey,1975,1975,G,6-3,185,"December 14, 1951",Boise State
1070,Derrek Dickey,1974,1978,F,6-7,218,"March 20, 1951",Cincinnati
1071,Dick Dickey,1952,1952,G,6-1,175,"October 26, 1926",NC State
1072,John Dickson,1968,1968,C,6-10,240,"November 18, 1945",Arkansas State University
1073,Travis Diener,2006,2010,G,6-1,175,"March 1, 1982",Marquette
1074,Gorgui Dieng,2014,2021,C,6-10,252,"January 18, 1990",Louisville
1075,Connie Dierking,1959,1971,C-F,6-9,222,"October 2, 1936",Cincinnati
1076,Coby Dietrick,1971,1983,C-F,6-10,220,"July 23, 1948",San Jose State
1077,Craig Dill,1968,1968,C,6-11,215,"December 17, 1944",Michigan
1078,Dwaine Dillard,1976,1976,F,6-6,230,"March 9, 1949",Eastern Michigan
1079,Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State
1080,Bob Dille,1947,1947,F,6-3,190,"July 2, 1917",Valparaiso
1081,Hook Dillon,1950,1950,F,6-3,180,"January 8, 1924",UNC
1082,Byron Dinkins,1990,1991,G,6-1,170,"June 15, 1967",UNC Charlotte
1083,Jackie Dinkins,1972,1972,F,6-5,210,"January 22, 1950",Voorhees College
1084,Harry Dinnel,1968,1968,F-G,6-4,200,"October 9, 1940",Pepperdine
1085,Bill Dinwiddie,1968,1972,F,6-7,220,"July 15, 1943",New Mexico Highlands University
1086,Spencer Dinwiddie,2015,2021,G,6-5,215,"April 6, 1993",Colorado
1087,Ike Diogu,2006,2012,F,6-8,250,"September 11, 1983",Arizona State
1088,DeSagana Diop,2002,2013,C,7-0,300,"January 30, 1982",
1089,Terry Dischinger,1963,1973,F-G,6-7,189,"November 21, 1940",Purdue
1090,Fred Diute,1955,1955,G,6-3,210,"January 9, 1929",St. Bonaventure
1091,Vlade Divac*,1990,2005,C,7-1,243,"February 3, 1968",
1092,Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",Maryland
1093,Earl Dodd,1950,1950,F,6-5,175,"November 1, 1924",Truman State University
1094,Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",Utah
1095,Joe Dolhon,1950,1951,G,6-0,175,"July 9, 1927",NYU
1096,Bob Doll,1947,1950,F-C,6-5,195,"August 10, 1919",Colorado
1097,James Donaldson,1981,1995,C,7-2,275,"August 16, 1957",Washington State
1098,Luka Dončić,2019,2021,G-F,6-7,230,"February 28, 1999",
1099,Bob Donham,1951,1954,G-F,6-2,190,"October 11, 1926",Ohio State
1100,Billy Donovan,1988,1988,G,5-11,171,"May 30, 1965",Providence
1101,Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College
1102,Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",Missouri
1103,Aleksandar Đorđević,1997,1997,G,6-2,198,"August 26, 1967",
1104,Jacky Dorsey,1978,1981,F,6-7,230,"December 18, 1954",Georgia
1105,Joey Dorsey,2009,2015,F,6-8,268,"December 16, 1983",Memphis
1106,Ron Dorsey,1972,1972,F,6-4,200,"October 10, 1948",Tennessee State
1107,Tyler Dorsey,2018,2019,G,6-5,183,"February 18, 1996",Oregon
1108,Luguentz Dort,2020,2021,G,6-3,215,"April 19, 1999",Arizona State
1109,Damyean Dotson,2018,2021,G,6-5,210,"May 6, 1994","Oregon, Houston"
1110,Devon Dotson,2021,2021,G,6-2,185,"August 2, 1999",Kansas
1111,Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
1112,Bruce Douglas,1987,1987,G,6-3,195,"April 9, 1964",Illinois
1113,John Douglas,1982,1983,G,6-2,170,"June 12, 1956",Kansas
1114,Leon Douglas,1977,1983,C-F,6-10,230,"August 26, 1954",Alabama
1115,Sherman Douglas,1990,2001,G,6-0,180,"September 15, 1966",Syracuse
1116,Toney Douglas,2010,2017,G,6-2,195,"March 16, 1986","Auburn, Florida State"
1117,Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",Memphis
1118,Sekou Doumbouya,2020,2021,F,6-8,230,"December 23, 2000",
1119,Sonny Dove,1968,1972,F,6-7,198,"August 16, 1945",St. John's
1120,Jerry Dover,1972,1972,G,5-7,155,"October 16, 1949",LeMoyne-Owen College
1121,Zabian Dowdell,2011,2011,G,6-3,191,"September 10, 1984",Virginia Tech
1122,Bill Downey,1948,1948,C,6-6,210,"November 11, 1923",Marquette
1123,Steve Downing,1974,1975,C,6-8,225,"September 9, 1950",Indiana
1124,Danny Doyle,1963,1963,F,6-8,200,"February 6, 1940",Belmont Abbey College
1125,Milton Doyle,2018,2018,G,6-4,185,"October 31, 1993",Loyola Chicago
1126,PJ Dozier,2018,2021,G,6-6,205,"October 25, 1996",South Carolina
1127,Terry Dozier,1990,1990,F,6-9,210,"June 29, 1966",South Carolina
1128,Goran Dragić,2009,2021,G,6-3,190,"May 6, 1986",
1129,Zoran Dragić,2015,2015,G-F,6-5,200,"June 22, 1989",
1130,Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962","Wichita State, Kansas"
1131,Bryce Drew,1999,2004,G,6-2,185,"September 21, 1974",Valparaiso
1132,John Drew,1975,1985,F-G,6-6,205,"September 30, 1954",Gardner-Webb University
1133,Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",Missouri
1134,Larry Drew,2015,2018,G,6-2,180,"March 5, 1990","UNC, UCLA"
1135,Clyde Drexler*,1984,1998,G,6-7,210,"June 22, 1962",Houston
1136,Nate Driggers,1997,1997,G,6-5,215,"October 12, 1973",University of Montevallo
1137,Terry Driscoll,1971,1975,F,6-7,215,"August 28, 1947",Boston College
1138,Predrag Drobnjak,2002,2005,C,6-11,270,"October 27, 1975",
1139,Ralph Drollinger,1981,1981,C,7-2,250,"April 20, 1954",UCLA
1140,Andre Drummond,2013,2021,C,6-10,279,"August 10, 1993",UConn
1141,Dennis DuVal,1975,1976,G,6-3,175,"March 31, 1952",Syracuse
1142,Dick Duckett,1958,1958,G,6-1,185,"March 25, 1933",St. John's
1143,Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
1144,Charles Dudley,1973,1979,G,6-2,180,"March 5, 1950",Washington
1145,Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale
1146,Jared Dudley,2008,2021,F-G,6-6,237,"July 10, 1985",Boston College
1147,Terry Duerod,1980,1983,G,6-2,180,"July 29, 1956",Detroit Mercy
1148,Bob Duffy,1947,1947,F,6-4,175,"July 5, 1922",Tulane
1149,Bob Duffy,1963,1965,G,6-3,185,"September 26, 1940",Colgate
1150,Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke
1151,Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",Wisconsin
1152,Walter Dukes,1956,1963,C,7-0,220,"June 23, 1930",Seton Hall
1153,Joe Dumars*,1986,1999,G,6-3,190,"May 24, 1963",McNeese State University
1154,Rich Dumas,1969,1969,G,6-3,170,"April 21, 1944",Northeastern State University
1155,Richard Dumas,1993,1996,F,6-7,200,"May 19, 1969",Oklahoma State
1156,Tony Dumas,1995,1998,G,6-6,190,"August 25, 1972",Missouri-Kansas City
1157,Andy Duncan,1949,1951,F-C,6-6,195,"April 17, 1922",William & Mary
1158,Tim Duncan*,1998,2016,F-C,6-11,250,"April 25, 1976",Wake Forest
1159,Mike Dunleavy,1977,1990,G,6-3,180,"March 21, 1954",South Carolina
1160,Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke
1161,Kris Dunn,2017,2020,G,6-3,205,"March 18, 1994",Providence
1162,Pat Dunn,1958,1958,G,6-2,170,"March 17, 1931",Utah State University
1163,T.R. Dunn,1978,1991,G-F,6-4,192,"February 1, 1955",Alabama
1164,Ronald Dupree,2004,2011,F,6-7,209,"January 26, 1981",LSU
1165,Kevin Durant,2008,2021,F-G,6-10,240,"September 29, 1988",Texas
1166,John Duren,1981,1983,G,6-3,195,"October 30, 1958",Georgetown
1167,Jarrett Durham,1972,1972,F,6-5,188,"August 22, 1949",Duquesne
1168,Pat Durham,1993,1995,F,6-7,210,"March 10, 1967",Colorado State
1169,Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",BYU
1170,Ken Durrett,1972,1975,F,6-7,190,"December 8, 1948",La Salle
1171,Trevon Duval,2019,2019,G,6-2,189,"August 3, 1998",Duke
1172,Jack Dwan,1949,1949,F-G,6-4,200,"May 3, 1921",Loyola Chicago
1173,Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959",Cal State Long Beach
1174,Gene Dyker,1954,1954,F,6-6,225,"February 17, 1930",DePaul
1175,Jerome Dyson,2012,2012,G,6-3,180,"May 1, 1987",UConn
1176,Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",New Orleans
1177,Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946",BYU
1178,Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970",Iowa
1179,Ed Earle,1954,1954,F,6-3,190,"April 28, 1927",Loyola Chicago
1180,Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State
1181,Penny Early,1969,1969,G,5-3,114,"May 30, 1943",
1182,Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957",UCLA
1183,Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959",Louisville
1184,Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia
1185,Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935",Detroit Mercy
1186,Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952",Missouri
1187,Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",
1188,Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951",Louisiana
1189,Jarell Eddie,2016,2018,G-F,6-7,218,"October 30, 1991",Virginia Tech
1190,Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967","Arkansas State University, Ole Miss"
1191,Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922",Illinois
1192,Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",Virginia
1193,Charles Edge,1974,1975,F,6-6,210,"February 23, 1950",LeMoyne-Owen College
1194,Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941",Tennessee State
1195,Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue
1196,Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973",UCLA
1197,Anthony Edwards,2021,2021,G,6-4,225,"August 5, 2001",Georgia
1198,Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971",Wright State University
1199,Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965",East Carolina University
1200,Carsen Edwards,2020,2021,G,5-11,200,"March 12, 1998",Purdue
1201,Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University
1202,Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State
1203,Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University
1204,James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955",Washington
1205,Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana
1206,John Edwards,2005,2006,C,7-0,275,"July 31, 1981",Kent State University
1207,Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul
1208,Shane Edwards,2014,2014,F,6-7,220,"May 31, 1987",Little Rock
1209,Vince Edwards,2019,2019,F,6-8,225,"April 5, 1996",Purdue
1210,Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939",Providence
1211,Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918",Oklahoma State
1212,Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923",Purdue
1213,Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961",Washington State
1214,Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933",SE Missouri State
1215,Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972",Boston College
1216,Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975",Maryland
1217,Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",UConn
1218,Don Eliason,1947,1947,F,6-2,210,"July 24, 1918",Hamline University
1219,Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College
1220,CJ Elleby,2021,2021,F,6-6,200,"June 16, 2000",Washington State
1221,Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922",West Texas A&M University
1222,Henry Ellenson,2017,2020,F,6-10,240,"January 13, 1997",Marquette
1223,Wayne Ellington,2010,2021,G,6-4,207,"November 29, 1987",UNC
1224,Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955",Arizona
1225,Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968",Arizona
1226,Bo Ellis,1978,1980,F,6-9,197,"August 8, 1954",Marquette
1227,Boo Ellis,1959,1960,F,6-5,185,"February 11, 1936",Niagara University
1228,Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",Tennessee
1229,Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970",Morehouse College
1230,Joe Ellis,1967,1974,F-G,6-6,175,"May 3, 1944",San Francisco
1231,LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",Notre Dame
1232,LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969","Kentucky, Syracuse"
1233,Leroy Ellis,1963,1976,C-F,6-10,210,"March 10, 1940",St. John's
1234,Monta Ellis,2006,2017,G,6-3,185,"October 26, 1985",
1235,Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967",Louisville
1236,Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952",Maryland
1237,Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",California
1238,Darrell Elston,1975,1977,G,6-4,190,"August 15, 1952",UNC
1239,Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978",Fresno State
1240,Joel Embiid,2017,2021,C,7-0,280,"March 16, 1994",Kansas
1241,Wayne Embry*,1959,1969,C-F,6-8,240,"March 26, 1937",Miami University
1242,Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982",Texas Tech
1243,Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918",University of Akron
1244,Wayne Engelstad,1989,1989,F,6-8,245,"December 6, 1966","University of California, Irvine"
1245,Chris Engler,1983,1988,C,6-11,245,"March 1, 1959","Minnesota, Wyoming"
1246,A.J. English,1991,1992,G,6-3,175,"July 11, 1967",Virginia Union University
1247,Alex English*,1977,1991,F,6-7,190,"January 5, 1954",South Carolina
1248,Claude English,1971,1971,F,6-4,185,"December 26, 1946",Rhode Island
1249,Jo Jo English,1993,1995,G,6-4,195,"February 4, 1970",South Carolina
1250,Kim English,2013,2013,G,6-6,200,"September 24, 1988",Missouri
1251,Scott English,1973,1975,F,6-6,205,"October 20, 1950",Texas-El Paso
1252,Gene Englund,1950,1950,F-C,6-5,205,"October 21, 1917",Wisconsin
1253,James Ennis,2015,2021,F,6-6,215,"July 1, 1990",Cal State Long Beach
1254,Tyler Ennis,2015,2018,G,6-3,194,"August 24, 1994",Syracuse
1255,Ray Epps,1979,1979,F,6-6,195,"August 20, 1956",Norfolk State
1256,Semih Erden,2011,2012,C,7-0,240,"July 28, 1986",
1257,Bo Erias,1958,1958,F,6-3,220,"July 30, 1932",Niagara University
1258,Keith Erickson,1966,1977,F-G,6-5,195,"April 19, 1944",UCLA
1259,Julius Erving*,1972,1987,F-G,6-7,210,"February 22, 1950",UMass
1260,Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern
